,agent_type,scenario,reward,steps,interaction_num,duration,cost,datetime,duration_1000_steps_sec,episode_duration_sec,step_exec_times_sec
214,hm_llama3,6,-29.234,1699,29,,0.0,2025-12-26_03-48-14,928.4497470855712,1643.8932421207428,
215,hm_llama3,5,7.814000000000001,1899,18,,0.0,2025-12-26_05-24-42,556.1113941669464,1273.101636648178,
216,hm_llama3,7,2.617,1599,30,,0.0,2025-12-26_05-26-00,878.1070289611816,1571.828534603119,
217,hm_llama3,7,41.559,1599,28,,0.0,2025-12-26_05-48-15,993.8872513771056,1497.9560165405271,
218,hm_llama3,7,49.49,1299,24,,0.0,2025-12-26_05-56-40,937.8676915168762,1237.226440191269,
219,hm_llama3,7,-32.181000000000004,1099,20,,0.0,2025-12-26_06-19-15,981.17462348938,1057.1267023086548,
220,hm_llama3,7,43.85200000000001,1499,26,,0.0,2025-12-26_06-15-16,855.463874578476,1391.4270157814026,
221,hm_llama3,7,-10.345,1499,25,,0.0,2025-12-26_10-30-10,993.493381500244,1503.0301661491394,
222,hm_llama3,0,0.6190000000000002,1299,22,,0.0,2025-12-26_14-54-43,771.8529968261719,1044.2746534347534,
223,hm_llama3,0,-26.53,1599,27,,0.0,2025-12-26_15-14-30,833.1899924278259,1368.4260158538818,
224,hm_llama3,0,10.361000000000002,2699,48,,0.0,2025-12-26_14-57-27,864.6399922370911,2511.5677037239075,
225,hm_llama3,0,28.58299999999999,1399,25,,0.0,2025-12-26_15-41-27,748.7699851989746,1162.5209395885468,
226,hm_llama3,0,29.047999999999995,1899,35,,0.0,2025-12-26_15-39-28,984.002541065216,1817.0437989234924,
227,hm_llama3,1,-36.382,1099,21,,0.0,2025-12-26_16-02-59,884.2851157188416,952.8033363819122,
228,hm_llama3,1,-14.933000000000002,1499,27,,0.0,2025-12-26_16-11-53,948.6351697444916,1429.5234916210177,
229,hm_llama3,1,3.682,1599,27,,0.0,2025-12-26_16-20-57,621.8207726478577,1235.8186447620392,
230,hm_llama3,1,-12.328,1199,21,,0.0,2025-12-26_16-41-47,948.5256991386414,1154.7785861492157,
231,hm_llama3,1,-36.237,1299,22,,0.0,2025-12-26_16-43-51,819.106819152832,1054.6289978027344,
232,hm_llama3,2,44.79500000000001,1099,21,,0.0,2025-12-27_09-49-36,836.4361529350281,934.4947423934937,
233,hm_llama3,0,28.966,1399,24,,0.0,2025-12-27_09-47-40,826.5872945785522,1186.164057016373,
234,hm_llama3,2,65.45599999999999,1699,29,,0.0,2025-12-27_10-07-10,777.4496827125549,1441.5560846328735,
235,hm_llama3,2,-1.383000000000001,1399,25,,0.0,2025-12-27_10-09-36,930.6043210029602,1303.5264265537262,
236,hm_llama3,2,-25.627,1399,25,,0.0,2025-12-27_10-33-11,756.9586005210876,1104.324188709259,
